BOARD FUP1,,Hybrid:,TTV2-01,Sensor,S10938-5997-9,,,,,,,,,
,FanUp,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
5,Angle,Top,317,21213,40,1,15,400,236,14,3,Bad,,Angle scans probably wrong
,,,,,,,,,,,,,,
6,Pedestal,Top,318,-,30,1,-5,400,236,14,3,Bad,,Angle scans probably wrong
6,Angle,Top,319,21214,30,1,-5,400,236,14,3,Bad,,Angle scans probably wrong
6,Angle,Top,320,21215,30,1,5,400,236,14,3,Bad,,Angle scans probably wrong
6,Angle,Top,321,21216,30,1,10,400,236,14,3,Bad,,Angle scans probably wrong
6,Angle,Top,322,21217,30,1,15,400,236,14,3,Bad,,Angle scans probably wrong
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Pedestal,Top,323,0,72,1,-5,400,239,13.5,3,,,
1,Angle,Top,324,21218,72,1,-5,400,239,13.5,3,,,
1,Angle,Top,325,21219,72,1,5,400,239,13.5,3,,,
1,Angle,Top,326,21220,72,1,10,400,239,13.5,3,,,
1,Angle,Top,327,21221,72,1,15,400,239,13.5,3,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Pedestal,Top,328,0,66,1,-5,400,239,13.5,3,,,
2,Angle,Top,329,21222,66,1,-5,400,239,13.5,3,,,
2,Angle,Top,330,21223,66,1,5,400,239,13.5,3,,,
2,Angle,Top,331,21224,66,1,10,400,239,13.5,3,,,
2,Angle,Top,332,21225,66,1,15,400,239,13.5,3,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3,Pedestal,Top,333,0,60,1,-5,400,266,13.5,3,,,
3,Angle,Top,334,21226,60,1,-5,400,266,13.5,3,,,
3,Angle,Top,335,21227,60,1,5,400,266,13.5,3,,,
3,Angle,Top,336,21228,60,1,10,400,266,13.5,3,,,
3,Angle,Top,337,21229,60,1,15,400,266,13.5,3,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4,Pedestal,Top,338,0,46,1,-5,400,265,13.5,3,,,
4,Angle,Top,339,21230,46,1,-5,400,265,13.5,3,,,
4,Angle,Top,340,21231,46,1,5,400,265,13.5,3,,,
4,Angle,Top,341,21232,46,1,10,400,265,13.5,3,,,
4,Angle,Top,342,21233,46,1,15,400,265,13.5,3,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5,Pedestal,Top,346,0,38,1,-5,400,261,13.5,3,,,
5,Angle,Top,347,21234,38,1,-5,400,261,13.5,3,,,
5,Angle,Top,348,21235,38,1,5,400,261,13.5,3,,,
5,Angle,Top,351,21238,38,1,10,400,261,13.5,3,,,
5,Angle,Top,352,21239,38,1,15,400,261,13.5,3,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6,Pedestal,Top,353,0,30,1,-5,400,261,13.5,3,,,
6,Angle,Top,354,21240,30,1,-5,400,261,13.5,3,,,
6,Angle,Top,355,21241,30,1,5,400,261,13.5,3,,,
6,Angle,Top,356,21242,30,1,10,400,261,13.5,3,,,
6,Angle,Top,357,21243,30,1,15,400,261,13.5,3,,,
